,model_name,step,dte,train_rmse,test_rmse,hyper,hyperidx,train_smape,test_smape,train_mase,test_mase
gru_1_2023-01-03 00:00:00,gru_gruhyper,1,2023-01-03 00:00:00,23.561869240977174,8.904495441208335,Model Name:lstm Hidden Dim:16 Num Layers:4 Dropout:0.2 Criterion:MSELoss() Prune:0.2,25,30.059001447325503,11.112505996436402,0.33329952,0.1042403
rnn_1_2023-01-03 00:00:00,rnn_rnnhyper,1,2023-01-03 00:00:00,23.754336312604984,10.772822085169278,Model Name:lstm Hidden Dim:16 Num Layers:4 Dropout:0.2 Criterion:MSELoss() Prune:0.2,25,30.302516511741683,13.33550382915296,0.33853403,0.12308643
lstm_1_2023-01-03 00:00:00,lstm_lstmhyper,1,2023-01-03 00:00:00,23.544670340967695,5.238016165925052,Model Name:lstm Hidden Dim:16 Num Layers:4 Dropout:0.2 Criterion:MSELoss() Prune:0.2,26,30.481095584637963,5.908388907449287,0.35812658,0.05757237
gru_1_2023-01-03 00:00:00,gru_gruhyper,1,2023-01-03 00:00:00,24.483961188270783,3.7998420833099447,Model Name:lstm Hidden Dim:16 Num Layers:4 Dropout:0.2 Criterion:MSELoss() Prune:0.2,26,31.882781922700584,3.893057304516173,0.39640886,0.039847024
rnn_1_2023-01-03 00:00:00,rnn_rnnhyper,1,2023-01-03 00:00:00,24.038327448544283,10.428926338681116,Model Name:lstm Hidden Dim:16 Num Layers:4 Dropout:0.2 Criterion:MSELoss() Prune:0.2,26,30.669347276581863,11.063268828810306,0.35538772,0.10107856
lstm_1_2023-01-03 00:00:00,lstm_lstmhyper,1,2023-01-03 00:00:00,23.673416822725443,9.393588748849906,Model Name:lstm Hidden Dim:16 Num Layers:4 Dropout:0.2 Criterion:MSELoss() Prune:0.2,27,30.29097103310502,11.615755850808661,0.33881596,0.10843665
gru_1_2023-01-03 00:00:00,gru_gruhyper,1,2023-01-03 00:00:00,23.68982920606436,8.961923799387895,Model Name:lstm Hidden Dim:16 Num Layers:4 Dropout:0.2 Criterion:MSELoss() Prune:0.2,27,30.16543338225701,11.222521330180921,0.33129537,0.105238326
rnn_1_2023-01-03 00:00:00,rnn_rnnhyper,1,2023-01-03 00:00:00,23.994830528466828,10.325049330475753,Model Name:lstm Hidden Dim:16 Num Layers:4 Dropout:0.2 Criterion:MSELoss() Prune:0.2,27,30.498542482061318,13.304776375753837,0.33689922,0.12346234
lstm_1_2023-01-03 00:00:00,lstm_lstmhyper,1,2023-01-03 00:00:00,25.196528555924747,7.19075721244502,Model Name:lstm Hidden Dim:16 Num Layers:4 Dropout:0.2 Criterion:MSELoss() Prune:0.2,28,31.76630789302022,7.424480237458881,0.41278198,0.078475736
gru_1_2023-01-03 00:00:00,gru_gruhyper,1,2023-01-03 00:00:00,23.631262862417156,8.135547540827384,Model Name:lstm Hidden Dim:16 Num Layers:4 Dropout:0.2 Criterion:MSELoss() Prune:0.2,28,30.441311969993475,10.054680004454495,0.34467906,0.094854586
rnn_1_2023-01-03 00:00:00,rnn_rnnhyper,1,2023-01-03 00:00:00,25.881750138550814,11.11839595614832,Model Name:lstm Hidden Dim:16 Num Layers:4 Dropout:0.2 Criterion:MSELoss() Prune:0.2,28,31.924224355838223,12.878311960320723,0.366086,0.12198443
lstm_1_2023-01-03 00:00:00,lstm_lstmhyper,1,2023-01-03 00:00:00,24.05788561681102,10.624228774859231,Model Name:lstm Hidden Dim:16 Num Layers:4 Dropout:0.2 Criterion:MSELoss() Prune:0.2,29,30.331865622961512,13.507318864788925,0.32683638,0.12502362
gru_1_2023-01-03 00:00:00,gru_gruhyper,1,2023-01-03 00:00:00,24.99522903694573,11.78972776038796,Model Name:lstm Hidden Dim:16 Num Layers:4 Dropout:0.2 Criterion:MSELoss() Prune:0.2,29,30.61506747390737,15.693249083401863,0.31269327,0.14447291
rnn_1_2023-01-03 00:00:00,rnn_rnnhyper,1,2023-01-03 00:00:00,24.42185500638977,8.982400853082055,Model Name:lstm Hidden Dim:16 Num Layers:4 Dropout:0.2 Criterion:MSELoss() Prune:0.2,29,30.91929886252446,10.569247061746161,0.34110665,0.099071495
lstm_1_2023-01-03 00:00:00,lstm_lstmhyper,1,2023-01-03 00:00:00,61.64529053953047,59.518804063164566,Model Name:lstm Hidden Dim:16 Num Layers:4 Dropout:0.2 Criterion:MSELoss() Prune:0.4,30,129.36786529680364,128.04708059210526,0.7775601,0.7794772
gru_1_2023-01-03 00:00:00,gru_gruhyper,1,2023-01-03 00:00:00,23.377064006885707,7.9355262044402215,Model Name:lstm Hidden Dim:16 Num Layers:4 Dropout:0.2 Criterion:MSELoss() Prune:0.4,30,30.329827136333982,9.77826356051261,0.35247535,0.09238334
rnn_1_2023-01-03 00:00:00,rnn_rnnhyper,1,2023-01-03 00:00:00,24.947706538346115,10.741413324375808,Model Name:lstm Hidden Dim:16 Num Layers:4 Dropout:0.2 Criterion:MSELoss() Prune:0.4,30,31.389824893998693,11.941638611910635,0.3678091,0.11290851
lstm_1_2023-01-03 00:00:00,lstm_lstmhyper,1,2023-01-03 00:00:00,23.73349164131315,7.976754988571799,Model Name:lstm Hidden Dim:16 Num Layers:4 Dropout:0.2 Criterion:MSELoss() Prune:0.4,31,30.52347826973255,9.406509131716009,0.3493074,0.08861677
gru_1_2023-01-03 00:00:00,gru_gruhyper,1,2023-01-03 00:00:00,24.872695892817138,12.392372344873454,Model Name:lstm Hidden Dim:16 Num Layers:4 Dropout:0.2 Criterion:MSELoss() Prune:0.4,31,30.653370637638616,16.709429824561404,0.31509912,0.1532355
rnn_1_2023-01-03 00:00:00,rnn_rnnhyper,1,2023-01-03 00:00:00,24.209724880894324,10.171670609865691,Model Name:lstm Hidden Dim:16 Num Layers:4 Dropout:0.2 Criterion:MSELoss() Prune:0.4,31,30.485483427103716,12.60617547286184,0.32914114,0.11683368
